TIMESTAMP,TRACK_ID,OBJECT_TYPE,X,Y,Heading,Velocity,CITY_NAME
1649564624.4584646,00000000-0000-0000-0000-000000000001,OTHERS,-72.07528686523438,240.94400024414062,-39.18182373046875,6.115957305433972,JEJU_AIRPORT
1649564624.4584646,00000000-0000-0000-0000-000000000011,OTHERS,-85.52182006835938,205.22698974609375,28.900360107421875,12.693219525760718,JEJU_AIRPORT
1649564624.4584646,00000000-0000-0000-0000-000000000013,OTHERS,-98.88882446289062,205.7744598388672,29.026962280273438,4.12590537164219,JEJU_AIRPORT
1649564624.4584646,00000000-0000-0000-0000-000000000015,OTHERS,-104.37659454345703,198.70925903320312,28.94268798828125,14.253820469593325,JEJU_AIRPORT
1649564624.4584646,00000000-0000-0000-0000-000000000000,AV,-85.50761413574219,271.4930419921875,-59.25634765625,0.002414928958777437,JEJU_AIRPORT
1649564624.558195,00000000-0000-0000-0000-000000000001,OTHERS,-71.67686462402344,240.53475952148438,-36.296051025390625,5.366232037502052,JEJU_AIRPORT
1649564624.558195,00000000-0000-0000-0000-000000000011,OTHERS,-84.42393493652344,205.83322143554688,28.922149658203125,12.444882925013252,JEJU_AIRPORT
1649564624.558195,00000000-0000-0000-0000-000000000013,OTHERS,-98.5144271850586,205.98208618164062,29.033416748046875,4.469841902193512,JEJU_AIRPORT
1649564624.558195,00000000-0000-0000-0000-000000000015,OTHERS,-103.17008209228516,199.37860107421875,28.978759765625,13.514753951766407,JEJU_AIRPORT
1649564624.558195,00000000-0000-0000-0000-000000000000,AV,-85.5078353881836,271.493408203125,-59.2606201171875,0.0045654768831378065,JEJU_AIRPORT
1649564624.6579273,00000000-0000-0000-0000-000000000001,OTHERS,-71.27177429199219,240.18797302246094,-33.02978515625,5.321873492114513,JEJU_AIRPORT
1649564624.6579273,00000000-0000-0000-0000-000000000011,OTHERS,-83.34547424316406,206.42904663085938,28.951751708984375,12.221583220206735,JEJU_AIRPORT
1649564624.6579273,00000000-0000-0000-0000-000000000013,OTHERS,-98.14398193359375,206.1877899169922,29.040008544921875,3.9356727404703924,JEJU_AIRPORT
1649564624.6579273,00000000-0000-0000-0000-000000000015,OTHERS,-101.9945297241211,200.03018188476562,28.97894287109375,13.295494716291401,JEJU_AIRPORT
1649564624.6579273,00000000-0000-0000-0000-000000000000,AV,-85.50782775878906,271.4932861328125,-59.25390625,0.009361134592975412,JEJU_AIRPORT
1649564624.7576597,00000000-0000-0000-0000-000000000001,OTHERS,-70.87647247314453,239.89488220214844,-30.0015869140625,4.759461068869721,JEJU_AIRPORT
1649564624.7576597,00000000-0000-0000-0000-000000000011,OTHERS,-82.28260803222656,207.01625061035156,28.977691650390625,12.008129935784382,JEJU_AIRPORT
1649564624.7576597,00000000-0000-0000-0000-000000000013,OTHERS,-97.78334045410156,206.3887176513672,29.04205322265625,4.392671872244589,JEJU_AIRPORT
1649564624.7576597,00000000-0000-0000-0000-000000000015,OTHERS,-100.86553192138672,200.65431213378906,29.01422119140625,12.674682892401924,JEJU_AIRPORT
1649564624.7576597,00000000-0000-0000-0000-000000000000,AV,-85.5062026977539,271.49078369140625,-59.192535400390625,0.062059509784654736,JEJU_AIRPORT
1649564624.8570433,00000000-0000-0000-0000-000000000001,OTHERS,-70.51709747314453,239.65542602539062,-27.09515380859375,4.121507121743604,JEJU_AIRPORT
1649564624.8570433,00000000-0000-0000-0000-000000000011,OTHERS,-81.24119567871094,207.59329223632812,28.998031616210938,11.819206001926169,JEJU_AIRPORT
1649564624.8570433,00000000-0000-0000-0000-000000000013,OTHERS,-97.43488311767578,206.58261108398438,29.0460205078125,3.800855861828321,JEJU_AIRPORT
1649564624.8570433,00000000-0000-0000-0000-000000000015,OTHERS,-99.76464080810547,201.26356506347656,29.00811767578125,12.314214840615527,JEJU_AIRPORT
1649564624.8570433,00000000-0000-0000-0000-000000000000,AV,-85.49992370605469,271.480712890625,-59.03350830078125,0.19051606816106956,JEJU_AIRPORT
1649564624.9567761,00000000-0000-0000-0000-000000000001,OTHERS,-70.17781829833984,239.46340942382812,-24.27117919921875,3.6828810091018176,JEJU_AIRPORT
1649564624.9567761,00000000-0000-0000-0000-000000000011,OTHERS,-80.1923599243164,208.17430114746094,29.01959228515625,11.620831151831057,JEJU_AIRPORT
1649564624.9567761,00000000-0000-0000-0000-000000000013,OTHERS,-97.07086181640625,206.78488159179688,29.04473876953125,4.2926359369111,JEJU_AIRPORT
